Kod stacji;Nazwa_stacji;Rok;Miesiąc;Dzień;zachmurzenie;prędkosc_wiatru;srednia_temp;cisnienie_pary_wodnej;wilgotnosc_wzgl;cisnienie_na_poziomie_stacji;cisnienie_na_poziomie_morza;suma_opadu_dzien;suma_opadu_noc
351160424;WROCŁAW;1966;2;18;7,4;1,4;-2,9;4,5;91,9;1002,1;1017,8;0;0
351160424;WROCŁAW;1966;2;19;7,9;2,3;-0,8;5,6;95,1;998,9;1014,5;0;0
351160424;WROCŁAW;1966;2;20;4,3;3,3;3,8;7,2;89,4;990,9;1006,1;0;0
351160424;WROCŁAW;1966;2;21;2,9;4,3;4,5;7,6;89,6;983,9;999;0;0
351160424;WROCŁAW;1966;2;22;4,8;3,8;6,3;8,7;90,9;980,7;995,7;5,3;0
351160424;WROCŁAW;1966;2;23;4,8;2,3;6,1;8,2;86,6;989,1;1004,3;0;0
351160424;WROCŁAW;1966;2;24;5,8;4;5,9;7,7;83,6;997,1;1012,3;0;0
351160424;WROCŁAW;1966;2;25;7,4;4,1;6,7;8,6;87,8;999,3;1014,5;0;0,2
351160424;WROCŁAW;1966;2;26;6;5,4;9,1;9,3;81,1;995,7;1010,7;0;0
351160424;WROCŁAW;1966;2;27;4,8;4,9;7,9;9;84,3;1000;1015,1;0;0
351160424;WROCŁAW;1966;2;28;4,4;2,9;7,5;8,9;86;995;1010,1;0,3;2,8
351160424;WROCŁAW;1966;3;1;7,6;5,1;6,8;8,9;90,1;996,7;1011,8;1;3,6
351160424;WROCŁAW;1966;3;2;7,6;2,9;4,7;7,9;93,6;1011,2;1026,7;0;0
351160424;WROCŁAW;1966;3;3;1,4;3,4;3,2;6,6;86,6;1011,8;1027,4;0;0
351160424;WROCŁAW;1966;3;4;5,4;3,8;5,6;7,5;83,1;1001,6;1016,9;0;0
351160424;WROCŁAW;1966;3;5;7,4;2,6;6,3;8,4;87,8;1004,9;1020,1;0;0
351160424;WROCŁAW;1966;3;6;7,8;2,9;2,6;6,5;88,9;1010,8;1026,4;0;0
351160424;WROCŁAW;1966;3;7;7,8;2,4;5,7;7,9;86,1;1008;1023,4;0;0
351160424;WROCŁAW;1966;3;8;6,1;2,9;6;8;85,5;1007,6;1023;0;0
351160424;WROCŁAW;1966;3;9;5,3;3,8;4,7;7,7;89,4;1003,1;1018,4;0,5;0,8
351160424;WROCŁAW;1966;3;10;7,4;3,4;4,3;7,4;88,4;1001,8;1017,1;0,5;4,6
351160424;WROCŁAW;1966;3;11;7,5;5;5,8;8,2;89;990,7;1005,9;1,9;0
351160424;WROCŁAW;1966;3;12;5;2,6;2,9;6,7;88,6;987,5;1002,8;1,7;0
351160424;WROCŁAW;1966;3;13;6,9;3,1;-0,2;5,6;91,8;993,6;1009,2;1,4;0,2
351160424;WROCŁAW;1966;3;14;6,9;4,6;-2,2;4,4;84,9;1005,2;1020,9;0;0
351160424;WROCŁAW;1966;3;15;6,4;5,8;-0,2;5,1;84,6;999,2;1014,8;1,3;0,7
351160424;WROCŁAW;1966;3;16;6,1;3,5;-0,2;4,9;82,5;1008,4;1024,1;0;1,1
351160424;WROCŁAW;1966;3;17;7,6;4,8;3,9;7,4;91,1;1008,9;1024,4;0,1;0
351160424;WROCŁAW;1966;3;18;7,5;4,5;5,4;7,9;88;1007,1;1022,6;0;0,2
351160424;WROCŁAW;1966;3;19;4,6;5;1,4;4,8;71,4;1018,4;1034,2;0;0
351160424;WROCŁAW;1966;3;20;3,6;2,6;0,3;4,1;68,9;1020,2;1036;0;0
351160424;WROCŁAW;1966;3;21;3,6;6,1;4,9;4,9;59,8;1007;1022,4;0;0
351160424;WROCŁAW;1966;3;22;5,6;8,4;6;6,2;67,6;1001,6;1016,8;0;0
351160424;WROCŁAW;1966;3;23;7,3;4;5,8;7,2;78,3;996,6;1011,8;0;0
351160424;WROCŁAW;1966;3;24;3,6;6,6;5;6,2;71,1;985,4;1000,6;0,4;0
351160424;WROCŁAW;1966;3;25;3,9;6,8;1,5;5,2;77;987,4;1002,7;0,3;0
351160424;WROCŁAW;1966;3;26;2,9;5,6;0,3;4,6;75,3;994,9;1010,5;0;0
351160424;WROCŁAW;1966;3;27;5,6;7,9;3,8;5,8;72,3;983,7;998,9;0;5,2
351160424;WROCŁAW;1966;3;28;6;9,4;6,2;7,3;77;979,2;994,2;3,3;0
351160424;WROCŁAW;1966;3;29;5,8;4,5;2,8;5,9;80,4;991,9;1007,2;0,3;0
351160424;WROCŁAW;1966;3;30;3,4;4,6;2,1;5,4;77,5;999,9;1015,4;0;0
351160424;WROCŁAW;1966;3;31;5,1;2,6;3,7;6,3;80;1002,7;1018;0;0,2
351160424;WROCŁAW;1966;4;1;4,3;2;6,7;7,6;79,9;1004,8;1020,1;0;0
351160424;WROCŁAW;1966;4;2;4,4;1,4;5,7;6,5;74,4;1004;1019,3;0;0,4
351160424;WROCŁAW;1966;4;3;5,8;1,8;5,6;7,4;82,3;1000,2;1015,4;0;0
351160424;WROCŁAW;1966;4;4;5;2,3;6,1;6,8;74,4;999,1;1014,4;0;0
351160424;WROCŁAW;1966;4;5;4,8;1,9;9,3;9;79;997,6;1012,7;0;0
351160424;WROCŁAW;1966;4;6;1,6;2,9;9,7;7,3;67;995,9;1010,9;0;0
351160424;WROCŁAW;1966;4;7;5,4;1,6;9,6;9,8;82;993,8;1008,7;2;0
351160424;WROCŁAW;1966;4;8;5,6;2,1;9,3;10;86;992,4;1007,3;0;1
351160424;WROCŁAW;1966;4;9;5,9;1,4;11,5;11,5;85,8;988,4;1003,2;5,7;0
351160424;WROCŁAW;1966;4;10;5,1;2;11,3;10,8;82,8;984,3;999,1;8,1;1,1
351160424;WROCŁAW;1966;4;11;8;2,6;8,2;10,5;95,9;988,2;1003,2;0;0
351160424;WROCŁAW;1966;4;12;8;2,4;4,3;7,5;89,6;993,6;1008,9;0;0
351160424;WROCŁAW;1966;4;13;7,9;4;3,5;6,8;86,4;995,4;1010,8;0;1,4
351160424;WROCŁAW;1966;4;14;6,6;2,3;7,8;8;76,1;990,2;1005,2;0;2,3
351160424;WROCŁAW;1966;4;15;7,8;2,6;5,9;8;86,4;985;1000,1;0;0
351160424;WROCŁAW;1966;4;16;6,3;4;8,5;8,9;81;985,8;1000,8;0;0
351160424;WROCŁAW;1966;4;17;6,6;3,5;8,1;9,4;86,8;986;1001;0;0,8
351160424;WROCŁAW;1966;4;18;7;1,9;9,2;9,9;85,5;993,9;1008,9;0;0
351160424;WROCŁAW;1966;4;19;7,1;4,8;13,2;10,6;72,1;990,5;1005,2;0,1;0
351160424;WROCŁAW;1966;4;20;3,4;4;11,4;9,9;76,3;991,4;1006,2;1,5;0
351160424;WROCŁAW;1966;4;21;6,1;3,5;6,7;9,6;95,5;998,1;1013,2;3,8;1,4
351160424;WROCŁAW;1966;4;22;4,9;5,4;5,4;6,3;72;1010,6;1026;0;0
351160424;WROCŁAW;1966;4;23;3,6;5,5;8,7;7,2;67,3;1008,2;1023,5;0;0
351160424;WROCŁAW;1966;4;24;4,9;5,4;12,7;9,7;66,6;998,3;1013,1;0;0
351160424;WROCŁAW;1966;4;25;5,5;3,9;13,5;11,8;77,5;997,4;1012,2;0;0
351160424;WROCŁAW;1966;4;26;4,9;2,5;13,1;10,6;71,9;1009,4;1024,4;0;0
351160424;WROCŁAW;1966;4;27;0,6;2,5;13;10,3;71,3;1007,2;1022,2;0;0
351160424;WROCŁAW;1966;4;28;4,6;1,5;15,8;12,7;72,9;1005,5;1020,2;0;0
351160424;WROCŁAW;1966;4;29;4;4,3;16,1;13;72;1011,8;1026,7;0;0
351160424;WROCŁAW;1966;4;30;2;2,8;13,4;9,2;63;1017,1;1032,3;0;0
351160424;WROCŁAW;1966;5;1;3;2;13,8;10,1;66,1;1015,4;1030,5;0;0
351160424;WROCŁAW;1966;5;2;1,3;1,8;14,8;9;60;1011,4;1026,3;0;0
351160424;WROCŁAW;1966;5;3;0;1,5;15,9;9,5;59;1006,1;1020,9;0;0
351160424;WROCŁAW;1966;5;4;3,1;0,8;16,8;13,3;72,3;999,9;1014,5;8,5;1,6
351160424;WROCŁAW;1966;5;5;6;4,8;15,8;13,7;77;994,7;1009,3;1,6;0
351160424;WROCŁAW;1966;5;6;7,1;4,6;11,9;11,3;82,1;995,4;1010,2;7,3;6,2
351160424;WROCŁAW;1966;5;7;7,6;1,6;9,4;11,4;97,1;994;1009;6,5;0
351160424;WROCŁAW;1966;5;8;7,9;2,1;9,2;10,8;93,3;997,8;1012,9;2,2;4,1
351160424;WROCŁAW;1966;5;9;8;2,5;8,1;10,6;98;995,1;1010,1;7,3;0,1
351160424;WROCŁAW;1966;5;10;7,9;4,6;9,1;10,3;89,4;996,3;1011,3;0;0
351160424;WROCŁAW;1966;5;11;6,6;1,4;9;9,5;82,8;996,8;1011,9;0;0
351160424;WROCŁAW;1966;5;12;1,3;1,6;10,3;9,2;75,9;999,7;1014,7;0;0
351160424;WROCŁAW;1966;5;13;2;2,6;12,3;10,9;77,4;1006,6;1021,6;0;0
351160424;WROCŁAW;1966;5;14;0,3;2,4;16,3;13,5;75,5;1010,8;1025,7;0;0
351160424;WROCŁAW;1966;5;15;0,5;1,8;18,1;14,1;71,3;1010,4;1025,2;0;0
351160424;WROCŁAW;1966;5;16;0,8;2,6;19,2;11,8;56,5;1011,1;1025,8;0;0
351160424;WROCŁAW;1966;5;17;1,5;2,6;17;13,6;71;1008,2;1023;0;0
351160424;WROCŁAW;1966;5;18;1,3;4;17;12,3;67,8;1002,7;1017,4;0;0
351160424;WROCŁAW;1966;5;19;1,4;3,9;16,1;11,4;65,9;999,3;1014;0;0,7
351160424;WROCŁAW;1966;5;20;5,9;3;12,6;12,3;85,4;1001,5;1016,4;0;0
351160424;WROCŁAW;1966;5;21;3,5;1,9;12,4;9,4;68,4;1005,7;1020,6;0;0
351160424;WROCŁAW;1966;5;22;3,3;3;15,8;12,1;69,5;1003,8;1018,5;0;0
351160424;WROCŁAW;1966;5;23;5,5;2,9;16,9;12,3;65,4;1000,5;1015,2;0;0
351160424;WROCŁAW;1966;5;24;4,6;2,4;13,9;9,1;60,3;1006,7;1021,6;0;0
351160424;WROCŁAW;1966;5;25;4,9;2,3;13,2;10;69,4;1005,9;1020,9;0;3,1
351160424;WROCŁAW;1966;5;26;7,1;3,3;12,5;11,7;82;996,4;1011,2;0,3;4,9
351160424;WROCŁAW;1966;5;27;7,9;3,9;10,8;12;92,8;993,1;1008;3,6;0
351160424;WROCŁAW;1966;5;28;7,4;4,4;9;9,6;84,1;998,7;1013,8;0,4;0
351160424;WROCŁAW;1966;5;29;7,5;4;8,9;8,1;71,8;1002,7;1017,8;0;0
351160424;WROCŁAW;1966;5;30;4,6;6;10,3;7;59;999,6;1014,6;0;0
351160424;WROCŁAW;1966;5;31;3,9;3,8;10,3;7,3;60,4;1000,8;1015,8;0;0
351160424;WROCŁAW;1966;6;1;3;2,3;11,3;8,4;65,9;1001,5;1016,5;0;0
351160424;WROCŁAW;1966;6;2;6,9;4,3;12;10,4;74,4;999,6;1014,5;0;0
351160424;WROCŁAW;1966;6;3;5,6;3,9;11,5;8,8;66,9;1005,2;1020,2;0;0
351160424;WROCŁAW;1966;6;4;5;1,8;15,4;11,4;68,4;1004;1018,8;0;0
351160424;WROCŁAW;1966;6;5;3,6;3,6;17,8;11,8;63,1;998,7;1013,3;0;0
351160424;WROCŁAW;1966;6;6;3,8;2,6;19,1;12,8;62,8;999,2;1013,7;0;0
351160424;WROCŁAW;1966;6;7;3,6;2;19,2;14,7;68,9;1003,3;1017,9;0;0
351160424;WROCŁAW;1966;6;8;6,1;2,5;18,7;15,8;75,8;1004;1018,6;0;0
351160424;WROCŁAW;1966;6;9;6,8;2,6;17,9;16,6;82;1002,1;1016,7;0,3;7,6
351160424;WROCŁAW;1966;6;10;5,3;1,3;19,6;17,2;77,8;1002,3;1016,8;0;0
351160424;WROCŁAW;1966;6;11;1,4;3,3;20,3;16,3;71,3;1005,9;1020,5;0;0
351160424;WROCŁAW;1966;6;12;1,6;5;20,8;14,5;61,4;1005;1019,5;0;0
351160424;WROCŁAW;1966;6;13;6;2,5;20,1;17,3;73,8;1003,7;1018,3;0;0,5
351160424;WROCŁAW;1966;6;14;5,9;1,8;19,7;18;80;1002,7;1017,3;11,6;0
351160424;WROCŁAW;1966;6;15;1,9;3,8;20,8;12,1;50,6;1002,2;1016,7;0;0
351160424;WROCŁAW;1966;6;16;0,8;2,5;20,7;13,7;60,8;1002;1016,5;0;0
351160424;WROCŁAW;1966;6;17;1,8;1,8;22,6;14,9;58,8;1002,3;1016,7;0;0
351160424;WROCŁAW;1966;6;18;4,3;4,9;21,1;13,1;55,9;1000,3;1014,8;0;0
351160424;WROCŁAW;1966;6;19;6,8;3,8;15,5;13,2;75,9;996,3;1011;1,2;21,6
351160424;WROCŁAW;1966;6;20;7,5;2,8;14,1;13,8;87,1;995,7;1010,5;3,5;0
351160424;WROCŁAW;1966;6;21;5,5;2;15,9;14,7;82,8;995,7;1010,4;1,1;0,3
351160424;WROCŁAW;1966;6;22;3,8;3,4;17,9;14,5;72,5;1000,3;1014,9;0;0
351160424;WROCŁAW;1966;6;23;1,5;2,5;19,6;15,2;69,6;1001,4;1015,9;0;0
351160424;WROCŁAW;1966;6;24;6,4;1,8;16,9;17,1;88,9;1001,6;1016,3;11,6;0
351160424;WROCŁAW;1966;6;25;7,4;4,3;15,8;14,1;79,4;1002,3;1017;0,7;0
351160424;WROCŁAW;1966;6;26;5,9;4,1;15;12,8;75,8;1003,1;1017,9;0;0
351160424;WROCŁAW;1966;6;27;5,1;3,6;16;13,9;77;1000;1014,7;0;3,2
351160424;WROCŁAW;1966;6;28;7,3;6,1;14,8;12,6;74,8;986,9;1001,6;0;0,6
351160424;WROCŁAW;1966;6;29;7,4;5,4;13,3;12,9;84,6;986,3;1000,9;6,8;0,2
351160424;WROCŁAW;1966;6;30;6,4;3,4;15;14;83,1;997,8;1012,5;5;0
351160424;WROCŁAW;1966;7;1;2,3;3,3;16,1;11,6;67,3;1005,7;1020,4;0;0
351160424;WROCŁAW;1966;7;2;1,5;1,6;16,9;12,8;69,6;1005;1019,8;0;0
351160424;WROCŁAW;1966;7;3;3,1;1,6;18,7;15,7;75,1;1002,6;1017,2;0;0
351160424;WROCŁAW;1966;7;4;5,1;1,6;19,2;18,1;82,1;1001,4;1015,9;10,3;4,1
351160424;WROCŁAW;1966;7;5;4,9;1,6;20,4;18,5;79,1;996,6;1011;0;0
351160424;WROCŁAW;1966;7;6;7,4;1,1;17,8;18,4;90,5;992;1006,4;3,7;1
351160424;WROCŁAW;1966;7;7;7,3;2;14,2;15,4;94,4;993,4;1008,1;26;0
351160424;WROCŁAW;1966;7;8;6,4;7;12,2;12,2;86;998,1;1013;2,9;7,2
351160424;WROCŁAW;1966;7;9;4,8;4,9;14,7;12,1;74,3;1002,9;1017,7;0;0
351160424;WROCŁAW;1966;7;10;5,8;3,4;17,6;16,5;82,5;1003,1;1017,8;0;0,1
351160424;WROCŁAW;1966;7;11;5,3;3,8;20,3;16,7;72,9;996,9;1011,4;0;15,6
351160424;WROCŁAW;1966;7;12;4,8;4,9;15,7;13,1;74,3;998,5;1013,2;0;0
351160424;WROCŁAW;1966;7;13;4,3;2,3;18,1;15,3;75;998,8;1013,4;0;0
351160424;WROCŁAW;1966;7;14;6;2,4;18,6;18,3;85,8;995,5;1010;1,5;0
351160424;WROCŁAW;1966;7;15;5,8;3,8;16;12,3;69,3;999,2;1013,9;0;0
351160424;WROCŁAW;1966;7;16;5,9;1;15,3;13,3;78,1;998,8;1013,5;0;3,6
351160424;WROCŁAW;1966;7;17;5,5;2,6;15,6;14,2;80,9;996,4;1011,2;0;0
351160424;WROCŁAW;1966;7;18;6,1;2,4;18,2;16,8;80;997,9;1012,5;0;5,1
351160424;WROCŁAW;1966;7;19;4,4;2,8;21,9;21,3;81,1;999,3;1013,7;0;0
351160424;WROCŁAW;1966;7;20;5;2,9;21,9;20,2;78,5;998,5;1012,9;0;0
351160424;WROCŁAW;1966;7;21;7;2,1;18,8;19,9;92;997,3;1011,9;4,8;0,7
351160424;WROCŁAW;1966;7;22;6,8;1,8;19,1;20,7;93,5;992,8;1007,3;0,7;0
351160424;WROCŁAW;1966;7;23;4,3;3,4;21;19,2;79,8;991,3;1005,7;0;0
351160424;WROCŁAW;1966;7;24;7,6;3,3;17,7;18,2;90;992,8;1007,3;7,1;17,9
351160424;WROCŁAW;1966;7;25;8;3,6;18;19,1;92,6;988,4;1002,9;10,7;0
351160424;WROCŁAW;1966;7;26;2,1;4;15,4;11,6;68,4;996,8;1011,5;0;0
351160424;WROCŁAW;1966;7;27;6,4;1,6;17;14,5;77,1;998,4;1013;0;0
351160424;WROCŁAW;1966;7;28;6,6;3;15,7;14,6;82,5;998,4;1013,1;0,1;0
351160424;WROCŁAW;1966;7;29;5,4;1,6;14,7;11,7;72,4;999,1;1013,9;0;0
351160424;WROCŁAW;1966;7;30;3,1;3,4;16,7;13,8;74,4;997,8;1012,4;0;0
351160424;WROCŁAW;1966;7;31;4,6;3,1;16,1;13,2;73,5;1000,5;1015,2;0,3;0
351160424;WROCŁAW;1966;8;1;2,6;2,8;16,7;13,2;72,3;1001,4;1016,1;0;0
351160424;WROCŁAW;1966;8;2;6,3;2,8;15,7;14,7;83;996,9;1011,6;4;0
351160424;WROCŁAW;1966;8;3;5,4;2,9;15,7;15,1;84,6;997,9;1012,6;0;0
351160424;WROCŁAW;1966;8;4;6,8;2,5;16,4;17,1;92,3;994,2;1008,8;10,5;0
351160424;WROCŁAW;1966;8;5;4,3;4,1;17,7;15,1;75,9;995,6;1010,1;0;0
351160424;WROCŁAW;1966;8;6;4,3;3,5;15,8;11,8;67,3;998,2;1012,9;0;0
351160424;WROCŁAW;1966;8;7;3,9;1,3;15,6;12,4;72,1;998,9;1013,6;0;0
351160424;WROCŁAW;1966;8;8;5,1;2,1;19,6;15,8;71,4;994,8;1009,3;0;0
351160424;WROCŁAW;1966;8;9;6,8;3,4;14,2;14,9;92;996,7;1011,5;30,8;0
351160424;WROCŁAW;1966;8;10;0,9;2,1;16;13,2;75,8;1002,9;1017,6;0;0
351160424;WROCŁAW;1966;8;11;2,4;2,1;19,9;17,8;77,5;1003;1017,6;0;0
351160424;WROCŁAW;1966;8;12;2,6;1,9;21,7;18,7;75,1;1005,8;1020,3;0;0
351160424;WROCŁAW;1966;8;13;0,4;1,8;24,4;21,3;72,1;1003,8;1018,1;0;0
351160424;WROCŁAW;1966;8;14;0,3;2,8;24,3;21,2;72,4;1001,7;1016;0;0
351160424;WROCŁAW;1966;8;15;6,5;2,3;18;12,7;62,6;1007,3;1022;0;8,9
351160424;WROCŁAW;1966;8;16;6,5;1,1;13,8;13,4;85,4;1011,9;1026,9;0;0
351160424;WROCŁAW;1966;8;17;4,3;1,6;15,7;13,4;77,1;1013,6;1028,6;0;0
351160424;WROCŁAW;1966;8;18;1,1;3,6;19,5;14,8;67,1;1009,6;1024,3;0;0
351160424;WROCŁAW;1966;8;19;2,4;2;19,9;17,8;77,4;1004,9;1019,5;0;0
351160424;WROCŁAW;1966;8;20;6,8;1,8;19,7;19,8;86,6;999,8;1014,4;0,5;14,1
351160424;WROCŁAW;1966;8;21;4;1,4;18,6;18,6;87,8;995;1009,5;0;0
351160424;WROCŁAW;1966;8;22;4,3;1,9;17,1;17;87,8;993,4;1008;0;0
351160424;WROCŁAW;1966;8;23;6,1;5,6;16,2;15,4;84,5;994,4;1009;1,7;0
351160424;WROCŁAW;1966;8;24;6,8;5,8;13;11,5;77,1;1000,4;1015,2;0;0
351160424;WROCŁAW;1966;8;25;6,1;1,3;12,4;11,5;81,1;1001,6;1016,5;0;0,3
351160424;WROCŁAW;1966;8;26;7,9;1,8;12,2;13,6;95,9;997,2;1012;19,7;3
351160424;WROCŁAW;1966;8;27;7;1,5;13,2;14,6;95,6;999,4;1014,2;0,7;0
351160424;WROCŁAW;1966;8;28;2,8;1,5;14,3;12,7;79,8;1002,5;1017,2;0;0
351160424;WROCŁAW;1966;8;29;1,9;2,4;14,3;12,3;77,8;1003,6;1018,4;0;0
351160424;WROCŁAW;1966;8;30;4;4,1;14;12,3;77,8;998,6;1013,4;0;0
351160424;WROCŁAW;1966;8;31;7,8;3,8;15;14,7;86,1;993,6;1008,2;0,7;0,3
351160424;WROCŁAW;1966;9;1;5,8;3;14,4;14,2;87,3;995,6;1010,3;0,3;0
351160424;WROCŁAW;1966;9;2;6,6;3,3;16,5;14,5;78,5;997,8;1012,4;0;0
351160424;WROCŁAW;1966;9;3;5,9;3,6;16,6;15;80,4;997,9;1012,6;1,1;0
351160424;WROCŁAW;1966;9;4;4,1;3,4;15,8;13,1;74,8;1001,5;1016,3;0;1,5
351160424;WROCŁAW;1966;9;5;5,4;4;14,8;14,6;86;997,5;1012,2;1,8;0
351160424;WROCŁAW;1966;9;6;6,3;3,8;14,4;13,5;82,6;1002,2;1017;0,3;0
351160424;WROCŁAW;1966;9;7;4,3;5,4;17,2;13,7;71,5;1003,4;1018,1;0;0
351160424;WROCŁAW;1966;9;8;4,4;3,9;14,4;11,6;71,1;1002,7;1017,5;0;0
351160424;WROCŁAW;1966;9;9;5,6;2,5;11,8;10,8;80,1;1002,6;1017,6;0;0
351160424;WROCŁAW;1966;9;10;1,1;0,6;13,9;11,6;76,3;1004,8;1019,7;0;0
351160424;WROCŁAW;1966;9;11;2,6;1,3;15,3;12,9;77,3;1006,6;1021,5;0;0
351160424;WROCŁAW;1966;9;12;0,4;2,8;19,2;16,6;76,9;1002,7;1017,3;0;0
351160424;WROCŁAW;1966;9;13;3,1;3,3;20;19;82,3;995,7;1010,2;1,4;1,9
351160424;WROCŁAW;1966;9;14;5;5,1;14,4;12,4;77,1;999,9;1014,7;0;0
351160424;WROCŁAW;1966;9;15;3,3;5,8;15,5;12,3;71,6;997,1;1011,8;0;0,3
351160424;WROCŁAW;1966;9;16;4,6;3,4;12,8;11,4;78,1;1004,8;1019,7;0;0
351160424;WROCŁAW;1966;9;17;4,9;2;9,9;9,1;77;1009,2;1024,4;0;0
351160424;WROCŁAW;1966;9;18;5,5;2,6;10,6;10;80,3;1006,3;1021,3;0;0
351160424;WROCŁAW;1966;9;19;0,6;0,9;8,5;8,1;76,8;1014;1029,3;0;0
351160424;WROCŁAW;1966;9;20;2,1;1;9,4;8,3;74,3;1013,6;1028,9;0;0
