;nazwa stacji;rok;miesiac;dzien;temp,;wilgotnosc wzglêdna;prêdkosc wiatru;œrednie dobowe zachmurzenie ogolne
252200150;WARSZAWA-BIELANY;2005;6;6;14,8;75,3;1,7;8
252200150;WARSZAWA-BIELANY;2005;6;7;12,7;64;1,3;7,7
252200150;WARSZAWA-BIELANY;2005;6;8;11;86,3;1,7;8
252200150;WARSZAWA-BIELANY;2005;6;9;12,8;72;1,7;8
252200150;WARSZAWA-BIELANY;2005;6;10;13,8;67,8;1,3;8
252200150;WARSZAWA-BIELANY;2005;6;11;13,9;65;2,7;5,7
252200150;WARSZAWA-BIELANY;2005;6;12;12,7;61,3;1,7;7,3
252200150;WARSZAWA-BIELANY;2005;6;13;16,8;55,8;1;4
252200150;WARSZAWA-BIELANY;2005;6;14;20,3;67,3;1;6,3
252200150;WARSZAWA-BIELANY;2005;6;15;21;73;1;5,7
252200150;WARSZAWA-BIELANY;2005;6;16;20,8;77,8;1;8
252200150;WARSZAWA-BIELANY;2005;6;17;18,7;81,3;2,3;8
252200150;WARSZAWA-BIELANY;2005;6;18;16,3;74,8;3,3;6,3
252200150;WARSZAWA-BIELANY;2005;6;19;17,3;69;2,3;3,7
252200150;WARSZAWA-BIELANY;2005;6;20;16,2;78;1,3;8
252200150;WARSZAWA-BIELANY;2005;6;21;17,4;54,3;1,3;4
252200150;WARSZAWA-BIELANY;2005;6;22;18,4;58;1,3;8
252200150;WARSZAWA-BIELANY;2005;6;23;17,8;67,8;1,7;6,3
252200150;WARSZAWA-BIELANY;2005;6;24;21;58,3;1;4
252200150;WARSZAWA-BIELANY;2005;6;25;23,9;51,5;1;2
252200150;WARSZAWA-BIELANY;2005;6;26;20;61,5;2;5,7
252200150;WARSZAWA-BIELANY;2005;6;27;18,9;52,5;1,3;5,3
252200150;WARSZAWA-BIELANY;2005;6;28;18,7;49;2,7;8
252200150;WARSZAWA-BIELANY;2005;6;29;16,9;61,3;2,3;5,3
252200150;WARSZAWA-BIELANY;2005;6;30;15,7;61,5;1;4
252200150;WARSZAWA-BIELANY;2005;7;1;18,1;62,5;0,3;3,7
252200150;WARSZAWA-BIELANY;2005;7;2;19,3;56;1,3;3
252200150;WARSZAWA-BIELANY;2005;7;3;19,7;57,3;1,7;1,7
252200150;WARSZAWA-BIELANY;2005;7;4;20,6;57;1,7;4,7
252200150;WARSZAWA-BIELANY;2005;7;5;21,6;52,3;1,3;4
252200150;WARSZAWA-BIELANY;2005;7;6;22,3;47,3;1,3;4,3
252200150;WARSZAWA-BIELANY;2005;7;7;19,5;67;1;6
252200150;WARSZAWA-BIELANY;2005;7;8;22,1;63,3;1,3;2,7
252200150;WARSZAWA-BIELANY;2005;7;9;21,8;62,3;1;5,3
252200150;WARSZAWA-BIELANY;2005;7;10;22,1;56;2,3;2,7
252200150;WARSZAWA-BIELANY;2005;7;11;22,5;59,3;1,3;2,7
252200150;WARSZAWA-BIELANY;2005;7;12;23,1;48,5;1,3;1,3
252200150;WARSZAWA-BIELANY;2005;7;13;23,7;55,5;1;5,3
252200150;WARSZAWA-BIELANY;2005;7;14;23,6;50;1,3;3
252200150;WARSZAWA-BIELANY;2005;7;15;23,4;58,3;1;2,7
252200150;WARSZAWA-BIELANY;2005;7;16;22,7;63,5;2;6
252200150;WARSZAWA-BIELANY;2005;7;17;20,1;62,5;2,7;4,3
252200150;WARSZAWA-BIELANY;2005;7;18;19,5;63,5;0,7;8
252200150;WARSZAWA-BIELANY;2005;7;19;20,1;74,5;1,3;8
252200150;WARSZAWA-BIELANY;2005;7;20;19;58,3;2,7;7,3
252200150;WARSZAWA-BIELANY;2005;7;21;16,8;82,8;2;8
252200150;WARSZAWA-BIELANY;2005;7;22;16,1;86;3,3;7
252200150;WARSZAWA-BIELANY;2005;7;23;17,2;77;2,3;6
252200150;WARSZAWA-BIELANY;2005;7;24;17;76,3;1,7;7
252200150;WARSZAWA-BIELANY;2005;7;25;18,2;74;1;6,3
252200150;WARSZAWA-BIELANY;2005;7;26;21,4;81;2,7;7,7
252200150;WARSZAWA-BIELANY;2005;7;27;20,5;83;1,3;7
252200150;WARSZAWA-BIELANY;2005;7;28;24,2;77,8;1,7;6,7
252200150;WARSZAWA-BIELANY;2005;7;29;23,2;83,8;0,7;4
252200150;WARSZAWA-BIELANY;2005;7;30;25,2;68;1,3;2,7
252200150;WARSZAWA-BIELANY;2005;7;31;22,3;83,5;1;6,3
252200150;WARSZAWA-BIELANY;2005;8;1;21,8;67,8;2;6,3
252200150;WARSZAWA-BIELANY;2005;8;2;19,9;66;1;4,7
252200150;WARSZAWA-BIELANY;2005;8;3;21,6;68,8;0,7;4,7
252200150;WARSZAWA-BIELANY;2005;8;4;18;88,5;2;8
252200150;WARSZAWA-BIELANY;2005;8;5;16,2;72,5;2;8
252200150;WARSZAWA-BIELANY;2005;8;6;15,4;88;1,3;6
252200150;WARSZAWA-BIELANY;2005;8;7;15,1;70,8;2;5
252200150;WARSZAWA-BIELANY;2005;8;8;14,3;75,8;1,3;8
252200150;WARSZAWA-BIELANY;2005;8;9;14,9;68;4;8
252200150;WARSZAWA-BIELANY;2005;8;10;16,9;60,3;2,7;8
252200150;WARSZAWA-BIELANY;2005;8;11;15,1;84,3;3;8
252200150;WARSZAWA-BIELANY;2005;8;12;16,3;79,3;1,7;8
252200150;WARSZAWA-BIELANY;2005;8;13;14,7;74,5;1,7;6,3
252200150;WARSZAWA-BIELANY;2005;8;14;15;80,5;1;8
252200150;WARSZAWA-BIELANY;2005;8;15;17,5;68,8;1;6
252200150;WARSZAWA-BIELANY;2005;8;16;17,3;75,8;0,7;7
252200150;WARSZAWA-BIELANY;2005;8;17;19,1;73,3;0,7;3,7
252200150;WARSZAWA-BIELANY;2005;8;18;18,5;75,3;1;5
252200150;WARSZAWA-BIELANY;2005;8;19;18,7;66,5;2;3,7
252200150;WARSZAWA-BIELANY;2005;8;20;18,9;63,8;2,3;2
252200150;WARSZAWA-BIELANY;2005;8;21;18,5;61,5;1;1
252200150;WARSZAWA-BIELANY;2005;8;22;19;74,5;1,7;6
252200150;WARSZAWA-BIELANY;2005;8;23;19,7;82,8;1;7
252200150;WARSZAWA-BIELANY;2005;8;24;19,5;81;1,3;5,7
252200150;WARSZAWA-BIELANY;2005;8;25;19,5;78,3;0,7;8
252200150;WARSZAWA-BIELANY;2005;8;26;18;75;2;7,3
252200150;WARSZAWA-BIELANY;2005;8;27;15,5;63;1,3;5
252200150;WARSZAWA-BIELANY;2005;8;28;15,2;72,5;1;3
252200150;WARSZAWA-BIELANY;2005;8;29;18,7;62,3;0,7;5,7
252200150;WARSZAWA-BIELANY;2005;8;30;19,4;68,5;1,7;4,3
252200150;WARSZAWA-BIELANY;2005;8;31;16,6;72,8;1,3;2
252200150;WARSZAWA-BIELANY;2005;9;1;15,5;62;1,7;0,3
252200150;WARSZAWA-BIELANY;2005;9;2;15,4;77;1,3;2,7
252200150;WARSZAWA-BIELANY;2005;9;3;15;89;1,3;3,7
252200150;WARSZAWA-BIELANY;2005;9;4;18;82,3;0,7;5,7
252200150;WARSZAWA-BIELANY;2005;9;5;17,3;78,8;1,7;2,3
252200150;WARSZAWA-BIELANY;2005;9;6;17,7;67,3;1,7;4,7
252200150;WARSZAWA-BIELANY;2005;9;7;18,6;77,5;1,7;3
252200150;WARSZAWA-BIELANY;2005;9;8;21;86,3;1,7;4
252200150;WARSZAWA-BIELANY;2005;9;9;21,4;85,5;1,7;2,7
252200150;WARSZAWA-BIELANY;2005;9;10;20;86,5;1,7;3,7
252200150;WARSZAWA-BIELANY;2005;9;11;20,9;89,3;1,3;4,3
252200150;WARSZAWA-BIELANY;2005;9;12;19,4;87,8;1;8
252200150;WARSZAWA-BIELANY;2005;9;13;16,7;94,5;2;8
252200150;WARSZAWA-BIELANY;2005;9;14;14,8;79,5;1;3,3
252200150;WARSZAWA-BIELANY;2005;9;15;15,9;74,5;2,7;6
252200150;WARSZAWA-BIELANY;2005;9;16;12,7;98;1,7;7,7
252200150;WARSZAWA-BIELANY;2005;9;17;9,2;82,3;1,7;7,3
252200150;WARSZAWA-BIELANY;2005;9;18;9;91;1,3;6
252200150;WARSZAWA-BIELANY;2005;9;19;10,3;92,3;0,7;2
252200150;WARSZAWA-BIELANY;2005;9;20;10,9;94,3;1;0,7
252200150;WARSZAWA-BIELANY;2005;9;21;12,4;94;1;1,3
252200150;WARSZAWA-BIELANY;2005;9;22;13,2;88;2;7,7
252200150;WARSZAWA-BIELANY;2005;9;23;14,3;85,8;1,7;0
252200150;WARSZAWA-BIELANY;2005;9;24;14,1;67,8;1;0
252200150;WARSZAWA-BIELANY;2005;9;25;14,8;80,3;1;2
252200150;WARSZAWA-BIELANY;2005;9;26;16;94,3;1,3;3
252200150;WARSZAWA-BIELANY;2005;9;27;16,9;81;0,7;6,3
252200150;WARSZAWA-BIELANY;2005;9;28;16;79;1,7;5,3
252200150;WARSZAWA-BIELANY;2005;9;29;14;85,8;1,3;8
252200150;WARSZAWA-BIELANY;2005;9;30;11,6;83,8;2;8
252200150;WARSZAWA-BIELANY;2005;10;1;11,1;93,3;1;8
252200150;WARSZAWA-BIELANY;2005;10;2;14,1;85;1;3,3
252200150;WARSZAWA-BIELANY;2005;10;3;13,2;94;0;8
252200150;WARSZAWA-BIELANY;2005;10;4;14,3;83,8;1;6,3
252200150;WARSZAWA-BIELANY;2005;10;5;12,4;89,8;1,7;3,7
252200150;WARSZAWA-BIELANY;2005;10;6;11;80,8;1,3;3,7
252200150;WARSZAWA-BIELANY;2005;10;7;11,4;83;1,7;1,7
252200150;WARSZAWA-BIELANY;2005;10;8;11,4;72;1,3;1
252200150;WARSZAWA-BIELANY;2005;10;9;13,6;84;1;2,3
252200150;WARSZAWA-BIELANY;2005;10;10;11,8;77,3;0,7;0
252200150;WARSZAWA-BIELANY;2005;10;11;11,3;95,5;2;3,7
252200150;WARSZAWA-BIELANY;2005;10;12;9,8;95,8;1;6,3
252200150;WARSZAWA-BIELANY;2005;10;13;10,1;94,3;0,7;8
252200150;WARSZAWA-BIELANY;2005;10;14;9,9;92,8;0,7;8
252200150;WARSZAWA-BIELANY;2005;10;15;8,7;92,3;1,7;7
252200150;WARSZAWA-BIELANY;2005;10;16;7,5;79;2;8
252200150;WARSZAWA-BIELANY;2005;10;17;6,8;82;2,7;7
252200150;WARSZAWA-BIELANY;2005;10;18;6,8;81;1,7;8
252200150;WARSZAWA-BIELANY;2005;10;19;5,9;88,3;1;7,3
252200150;WARSZAWA-BIELANY;2005;10;20;5,9;83,5;0,7;1,7
252200150;WARSZAWA-BIELANY;2005;10;21;8,8;83,8;1;7
252200150;WARSZAWA-BIELANY;2005;10;22;9,4;86,5;1;5,3
252200150;WARSZAWA-BIELANY;2005;10;23;14;79,5;1,3;6,7
252200150;WARSZAWA-BIELANY;2005;10;24;10,7;80,8;2;7
252200150;WARSZAWA-BIELANY;2005;10;25;10,7;89,5;1,3;8
252200150;WARSZAWA-BIELANY;2005;10;26;11,9;65,5;3,3;6
252200150;WARSZAWA-BIELANY;2005;10;27;10,6;77,5;2,3;7
252200150;WARSZAWA-BIELANY;2005;10;28;4,3;78,5;1,7;2
252200150;WARSZAWA-BIELANY;2005;10;29;2;46,3;2,7;5
252200150;WARSZAWA-BIELANY;2005;10;30;1,3;88,5;1,3;1,3
252200150;WARSZAWA-BIELANY;2005;10;31;2,5;75;2,3;7,3
252200150;WARSZAWA-BIELANY;2005;11;1;4,5;48,5;2,7;3
252200150;WARSZAWA-BIELANY;2005;11;2;4,2;69,3;1;5
252200150;WARSZAWA-BIELANY;2005;11;3;4,2;82,8;1,7;7
252200150;WARSZAWA-BIELANY;2005;11;4;5;68;2,3;8
252200150;WARSZAWA-BIELANY;2005;11;5;6;67,8;1,3;6
252200150;WARSZAWA-BIELANY;2005;11;6;7,8;80;1;4
252200150;WARSZAWA-BIELANY;2005;11;7;5,4;98;1;8
252200150;WARSZAWA-BIELANY;2005;11;8;7,6;85,5;1,7;7,7
252200150;WARSZAWA-BIELANY;2005;11;9;6,4;92,3;1,3;8
252200150;WARSZAWA-BIELANY;2005;11;10;5,4;93,3;0,7;8
252200150;WARSZAWA-BIELANY;2005;11;11;5,3;87,8;1;8
252200150;WARSZAWA-BIELANY;2005;11;12;7,4;97,3;1,7;8
252200150;WARSZAWA-BIELANY;2005;11;13;5,5;94,8;1;7
252200150;WARSZAWA-BIELANY;2005;11;14;6;77,3;2,7;6,7
252200150;WARSZAWA-BIELANY;2005;11;15;6,2;71,5;3;5,7
252200150;WARSZAWA-BIELANY;2005;11;16;4;88,5;2,7;8
252200150;WARSZAWA-BIELANY;2005;11;17;3,5;86,5;3;8
252200150;WARSZAWA-BIELANY;2005;11;18;1,5;88,5;2,7;8
252200150;WARSZAWA-BIELANY;2005;11;19;0,6;93,3;2;6
252200150;WARSZAWA-BIELANY;2005;11;20;-0,2;96,5;1;8
252200150;WARSZAWA-BIELANY;2005;11;21;0,3;87;1,7;8
252200150;WARSZAWA-BIELANY;2005;11;22;-0,3;91;1,3;8
252200150;WARSZAWA-BIELANY;2005;11;23;0,9;90;0,7;8
252200150;WARSZAWA-BIELANY;2005;11;24;-1,5;80;2,7;8
252200150;WARSZAWA-BIELANY;2005;11;25;-1,6;90,5;2;8
252200150;WARSZAWA-BIELANY;2005;11;26;-0,9;90,5;1;8
252200150;WARSZAWA-BIELANY;2005;11;27;-0,3;98,5;2,3;8
252200150;WARSZAWA-BIELANY;2005;11;28;1,8;87,3;2,7;8
252200150;WARSZAWA-BIELANY;2005;11;29;0,2;89,8;2;8
252200150;WARSZAWA-BIELANY;2005;11;30;-0,3;81,3;1;8
252200150;WARSZAWA-BIELANY;2005;12;1;0,5;85,8;1,7;8
252200150;WARSZAWA-BIELANY;2005;12;2;1,2;85,5;3;8
252200150;WARSZAWA-BIELANY;2005;12;3;0,7;92,5;1;7
252200150;WARSZAWA-BIELANY;2005;12;4;0,8;96,5;1,3;7
252200150;WARSZAWA-BIELANY;2005;12;5;2,7;90,5;3;8
252200150;WARSZAWA-BIELANY;2005;12;6;3,3;91,8;2,3;8
252200150;WARSZAWA-BIELANY;2005;12;7;2,2;96;1,7;8
252200150;WARSZAWA-BIELANY;2005;12;8;1,2;96,5;2;8
252200150;WARSZAWA-BIELANY;2005;12;9;-0,6;86;0;8
252200150;WARSZAWA-BIELANY;2005;12;10;-1,4;88,5;1;8
252200150;WARSZAWA-BIELANY;2005;12;11;0,3;100;3;8
252200150;WARSZAWA-BIELANY;2005;12;12;2,2;92,8;3;8
252200150;WARSZAWA-BIELANY;2005;12;13;1,7;92,5;2,3;8
252200150;WARSZAWA-BIELANY;2005;12;14;2,2;94,5;2,7;8
252200150;WARSZAWA-BIELANY;2005;12;15;2,8;92;4,7;8
252200150;WARSZAWA-BIELANY;2005;12;16;2,5;88,3;2,3;8
252200150;WARSZAWA-BIELANY;2005;12;17;0,9;98;3;7
252200150;WARSZAWA-BIELANY;2005;12;18;-2,8;78;2;8
252200150;WARSZAWA-BIELANY;2005;12;19;-2,7;78,5;1;8
252200150;WARSZAWA-BIELANY;2005;12;20;-3,1;75,3;1;8
252200150;WARSZAWA-BIELANY;2005;12;21;-3,9;66;2;8
252200150;WARSZAWA-BIELANY;2005;12;22;-2,3;90,8;1,3;8
252200150;WARSZAWA-BIELANY;2005;12;23;-0,5;93;1,7;7,3
252200150;WARSZAWA-BIELANY;2005;12;24;1,4;98;2,7;8
252200150;WARSZAWA-BIELANY;2005;12;25;2,5;80,3;2,7;8
252200150;WARSZAWA-BIELANY;2005;12;26;1,2;91,8;1;7
252200150;WARSZAWA-BIELANY;2005;12;27;-0,4;90;2,7;8
